skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
business,business,14,General,0.667,2,1,business,Exit Strategies and Business Valuation; Digital Business Models; Agile in Business
data,data,14,Programming,0.333,3,1,data,PHP 2020 Basics; Launch Your MySQL Powers; IoT and Big Data
programming,programming,14,Programming,1.0,1,1,programming,Visual Basic Modeling Process; Hacking Basics of Computer Programming; C 2019 ObjectOriented Programming
customer,customer,12,Customer Service,0.667,2,1,customer,Face to Face Customer Service; Customer Service First Call Resolution; Customer Magnet
web,web,12,Programming,1.0,1,1,web,JavaScript BOM DOM; WordPress Your First Steps to Be a FullStack Developer; HTML Web Design Tools
digital,digital,11,Programming,0.333,3,0,digital,HTML Web Design Tools; Introduction to Digital Transformation; Digital Business Models
management,management,10,General,0.667,2,1,management,Risk Management; Introduction to Supply Chain Management; Operations Management for Startups
functions,functions,8,Game Design,0.333,3,0,functions,Essential Unity Controls 1; Be an Autocad Artist Autocad Drawing 2; Advanced JavaScript
marketing,marketing,8,Marketing Skills,0.667,2,0,"marketing, تسويق",Digital Marketing Introduction; Social Media Marketing Basics; Digital Marketing Facebook
personal,personal,8,Personal Development,0.667,2,1,personal,Critical Thinking; Personal Effectiveness; Sell Yourself and Idea Personal Branding
team,team,8,Human Resources,0.333,3,1,team,Team Dynamics; Shifting Focus from Team Member to Team Leader; Building First Impression
customers,customers,7,Customer Service,0.333,3,0,customers,Face to Face Customer Service; Spin Selling; Serving Customers using Social Media
database,database,7,Programming,0.333,3,0,database,Publish your First Android Studio Project; Access 2019 Essentials; Python Database
professional,professional,7,Personal Development,0.333,3,0,professional,Emotional Intelligence; Business Ethics and Etiquette; Advanced Excel
project,project,7,Graphic Design,0.667,2,0,project,Revit 2020 Intelligible Projects; Managing key stakeholders; Revit 2020Lasting Buildings
projects,projects,7,Graphic Design,1.0,1,0,projects,Revit 2020 Intelligible Projects; Master The Animation in 3D Max; Lets Practice 3D Max
revit,revit,7,Graphic Design,1.0,1,0,"revit, ريفيت",Revit 2020 Intelligible Projects; Revit 2020Simple Steps to Create Splendid Stairs; Revit 2020 Create Walls of Armor
social,social,7,General,0.333,3,0,social,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
what,what,7,Business Fundamentals,0.333,3,0,what,Introduction to Digital Transformation; Body Language Fundamentals; The Art of Happiness
adobe,adobe,6,Graphic Design,1.0,1,0,adobe,Adobe InDesign Formatting Books; Adobe Illustrator Essentials; Adobe InDesign Advanced Techniques
customer service,customer service,6,Customer Service,0.667,2,0,customer service,Face to Face Customer Service; Customer Service First Call Resolution; Customer Service Career
digital transformation,digital transformation,6,Business Fundamentals,1.0,1,0,digital transformation,Introduction to Digital Transformation; Digital Transformation; Introduction to Digital Transformation
do,do,6,Ethics and Social Responsibility,0.333,3,1,do,Code of Ethics and Corporate Governance; Financial Inclusion; Increasing Productivity and Time Management
max,max,6,Graphic Design,1.0,1,0,max,03 D Max Start Creating your Own Project Material; 03 D Max Hologram Design; Start with 3D Max
objects,objects,6,Graphic Design,0.667,2,0,objects,03 D Max Hologram Design; Be an Autocad Artist Autocad Drawing 2; PHP 2020 OOP
sales,sales,6,Sales,1.0,1,0,"sales, مبيعات",Spin Selling; Sell with Stories; The psychology of selling
service,service,6,Customer Service,0.667,2,0,service,Face to Face Customer Service; Customer Service First Call Resolution; Customer Service Career
transformation,transformation,6,Business Fundamentals,1.0,1,0,transformation,Introduction to Digital Transformation; Digital Transformation; Introduction to Digital Transformation
android,android,5,Programming,0.667,2,0,android,Support Your Android Sensors; Publish your First Android Studio Project; Android Studio Build Your Own APK
autocad,autocad,5,Graphic Design,1.0,1,0,"autocad, اوتوكاد",Practice your Autocad Skills; Be an Autocad Artist Autocad Drawing 2; Autocad 3D Be the Embodied Hero
can,can,5,Personal Development,0.333,3,0,can,Critical Thinking; Data-Drive Decision Making; Time Management
chain,chain,5,General,1.0,1,0,chain,Introduction to Supply Chain Management; Digital Transformation in Supply Chain; Supply Chain Analytics
change,change,5,Business Fundamentals,0.333,3,0,change,Introduction to Digital Transformation; Agile in Business; Presentation Skills Basics
corporate,corporate,5,Entrepreneurship,0.333,3,0,corporate,How companies operate; Introduction to Corporate Governance; How to make it in the corporate world
